filename,title,memory,workers,total_executions
ml_stage1_aws_2048Mb_arm,ml_stage1_aws_2048Mb_arm,2048,4,19
ml_stage1_aws_2048Mb_arm,ml_stage1_aws_2048Mb_arm,2048,5,19
ml_stage1_aws_2048Mb_arm,ml_stage1_aws_2048Mb_arm,2048,6,17
ml_stage1_aws_2048Mb_arm,ml_stage1_aws_2048Mb_arm,2048,7,22
ml_stage1_aws_2048Mb_arm,ml_stage1_aws_2048Mb_arm,2048,8,10
ml_stage1_aws_2048Mb_arm,ml_stage1_aws_2048Mb_arm,2048,9,13
ml_stage1_aws_2048Mb_arm,ml_stage1_aws_2048Mb_arm,2048,10,15
ml_stage1_aws_2048Mb_arm,ml_stage1_aws_2048Mb_arm,2048,12,16
ml_stage1_aws_2048Mb_arm,ml_stage1_aws_2048Mb_arm,2048,16,12
ml_stage1_aws_2048Mb_arm,ml_stage1_aws_2048Mb_arm,2048,20,24
ml_stage1_aws_2048Mb_arm,ml_stage1_aws_2048Mb_arm,2048,24,15
ml_stage1_aws_2048Mb_arm,ml_stage1_aws_2048Mb_arm,2048,28,14
ml_stage1_aws_2048Mb_x86,ml_stage1_aws_2048Mb_x86,2048,4,13
ml_stage1_aws_2048Mb_x86,ml_stage1_aws_2048Mb_x86,2048,5,14
ml_stage1_aws_2048Mb_x86,ml_stage1_aws_2048Mb_x86,2048,6,13
ml_stage1_aws_2048Mb_x86,ml_stage1_aws_2048Mb_x86,2048,7,14
ml_stage1_aws_2048Mb_x86,ml_stage1_aws_2048Mb_x86,2048,8,15
ml_stage1_aws_2048Mb_x86,ml_stage1_aws_2048Mb_x86,2048,9,14
ml_stage1_aws_2048Mb_x86,ml_stage1_aws_2048Mb_x86,2048,10,14
ml_stage1_aws_2048Mb_x86,ml_stage1_aws_2048Mb_x86,2048,12,15
ml_stage1_aws_2048Mb_x86,ml_stage1_aws_2048Mb_x86,2048,16,15
ml_stage1_aws_2048Mb_x86,ml_stage1_aws_2048Mb_x86,2048,20,15
ml_stage1_aws_2048Mb_x86,ml_stage1_aws_2048Mb_x86,2048,24,13
ml_stage1_aws_2048Mb_x86,ml_stage1_aws_2048Mb_x86,2048,28,14
ml_stage1_aws_512Mb_arm,ml_stage1_aws_512Mb_arm,512,4,16
ml_stage1_aws_512Mb_arm,ml_stage1_aws_512Mb_arm,512,5,16
ml_stage1_aws_512Mb_arm,ml_stage1_aws_512Mb_arm,512,6,16
ml_stage1_aws_512Mb_arm,ml_stage1_aws_512Mb_arm,512,7,16
ml_stage1_aws_512Mb_arm,ml_stage1_aws_512Mb_arm,512,8,16
ml_stage1_aws_512Mb_arm,ml_stage1_aws_512Mb_arm,512,9,18
ml_stage1_aws_512Mb_arm,ml_stage1_aws_512Mb_arm,512,10,16
ml_stage1_aws_512Mb_arm,ml_stage1_aws_512Mb_arm,512,12,18
ml_stage1_aws_512Mb_arm,ml_stage1_aws_512Mb_arm,512,16,16
ml_stage1_aws_512Mb_arm,ml_stage1_aws_512Mb_arm,512,20,20
ml_stage1_aws_512Mb_arm,ml_stage1_aws_512Mb_arm,512,24,16
ml_stage1_aws_512Mb_arm,ml_stage1_aws_512Mb_arm,512,28,16
ml_stage1_aws_512Mb_x86,ml_stage1_aws_512Mb_x86,512,4,10
ml_stage1_aws_512Mb_x86,ml_stage1_aws_512Mb_x86,512,5,10
ml_stage1_aws_512Mb_x86,ml_stage1_aws_512Mb_x86,512,6,10
ml_stage1_aws_512Mb_x86,ml_stage1_aws_512Mb_x86,512,7,10
ml_stage1_aws_512Mb_x86,ml_stage1_aws_512Mb_x86,512,8,10
ml_stage1_aws_512Mb_x86,ml_stage1_aws_512Mb_x86,512,9,10
ml_stage1_aws_512Mb_x86,ml_stage1_aws_512Mb_x86,512,10,10
ml_stage1_aws_512Mb_x86,ml_stage1_aws_512Mb_x86,512,12,10
ml_stage1_aws_512Mb_x86,ml_stage1_aws_512Mb_x86,512,16,9
ml_stage1_aws_512Mb_x86,ml_stage1_aws_512Mb_x86,512,20,9
ml_stage1_aws_512Mb_x86,ml_stage1_aws_512Mb_x86,512,24,10
ml_stage1_aws_512Mb_x86,ml_stage1_aws_512Mb_x86,512,28,10
ml_stage2,ml_stage2,512,5,4
ml_stage2,ml_stage2,512,6,4
ml_stage2,ml_stage2,512,7,6
ml_stage2,ml_stage2,512,8,6
ml_stage2,ml_stage2,512,9,6
ml_stage2,ml_stage2,512,10,7
ml_stage2_aws_1024Mb_arm,ml_stage2_aws_1024Mb_arm,1024,4,12
ml_stage2_aws_1024Mb_arm,ml_stage2_aws_1024Mb_arm,1024,5,12
ml_stage2_aws_1024Mb_arm,ml_stage2_aws_1024Mb_arm,1024,6,12
ml_stage2_aws_1024Mb_arm,ml_stage2_aws_1024Mb_arm,1024,7,12
ml_stage2_aws_1024Mb_arm,ml_stage2_aws_1024Mb_arm,1024,8,24
ml_stage2_aws_1024Mb_arm,ml_stage2_aws_1024Mb_arm,1024,9,24
ml_stage2_aws_1024Mb_arm,ml_stage2_aws_1024Mb_arm,1024,10,24
ml_stage2_aws_1024Mb_arm,ml_stage2_aws_1024Mb_arm,1024,12,12
ml_stage2_aws_1024Mb_arm,ml_stage2_aws_1024Mb_arm,1024,16,18
ml_stage2_aws_1024Mb_arm,ml_stage2_aws_1024Mb_arm,1024,20,20
ml_stage2_aws_1024Mb_arm,ml_stage2_aws_1024Mb_arm,1024,24,17
ml_stage2_aws_1024Mb_arm,ml_stage2_aws_1024Mb_arm,1024,28,20
ml_stage2_aws_1024Mb_x86,ml_stage2_aws_1024Mb_x86,1024,4,10
ml_stage2_aws_1024Mb_x86,ml_stage2_aws_1024Mb_x86,1024,5,10
ml_stage2_aws_1024Mb_x86,ml_stage2_aws_1024Mb_x86,1024,6,10
ml_stage2_aws_1024Mb_x86,ml_stage2_aws_1024Mb_x86,1024,7,10
ml_stage2_aws_1024Mb_x86,ml_stage2_aws_1024Mb_x86,1024,8,10
ml_stage2_aws_1024Mb_x86,ml_stage2_aws_1024Mb_x86,1024,9,10
ml_stage2_aws_1024Mb_x86,ml_stage2_aws_1024Mb_x86,1024,10,10
ml_stage2_aws_1024Mb_x86,ml_stage2_aws_1024Mb_x86,1024,12,10
ml_stage2_aws_1024Mb_x86,ml_stage2_aws_1024Mb_x86,1024,16,10
ml_stage2_aws_1024Mb_x86,ml_stage2_aws_1024Mb_x86,1024,20,10
ml_stage2_aws_1024Mb_x86,ml_stage2_aws_1024Mb_x86,1024,24,10
ml_stage2_aws_1024Mb_x86,ml_stage2_aws_1024Mb_x86,1024,28,10
ml_stage2_aws_2048Mb_arm,ml_stage2_aws_2048Mb_arm,2048,4,19
ml_stage2_aws_2048Mb_arm,ml_stage2_aws_2048Mb_arm,2048,5,19
ml_stage2_aws_2048Mb_arm,ml_stage2_aws_2048Mb_arm,2048,6,17
ml_stage2_aws_2048Mb_arm,ml_stage2_aws_2048Mb_arm,2048,7,22
ml_stage2_aws_2048Mb_arm,ml_stage2_aws_2048Mb_arm,2048,8,10
ml_stage2_aws_2048Mb_arm,ml_stage2_aws_2048Mb_arm,2048,9,13
ml_stage2_aws_2048Mb_arm,ml_stage2_aws_2048Mb_arm,2048,10,15
ml_stage2_aws_2048Mb_arm,ml_stage2_aws_2048Mb_arm,2048,12,16
ml_stage2_aws_2048Mb_arm,ml_stage2_aws_2048Mb_arm,2048,16,12
ml_stage2_aws_2048Mb_arm,ml_stage2_aws_2048Mb_arm,2048,20,24
ml_stage2_aws_2048Mb_arm,ml_stage2_aws_2048Mb_arm,2048,24,15
ml_stage2_aws_2048Mb_arm,ml_stage2_aws_2048Mb_arm,2048,28,14
ml_stage2_aws_2048Mb_x86,ml_stage2_aws_2048Mb_x86,2048,4,13
ml_stage2_aws_2048Mb_x86,ml_stage2_aws_2048Mb_x86,2048,5,14
ml_stage2_aws_2048Mb_x86,ml_stage2_aws_2048Mb_x86,2048,6,13
ml_stage2_aws_2048Mb_x86,ml_stage2_aws_2048Mb_x86,2048,7,14
ml_stage2_aws_2048Mb_x86,ml_stage2_aws_2048Mb_x86,2048,8,15
ml_stage2_aws_2048Mb_x86,ml_stage2_aws_2048Mb_x86,2048,9,14
ml_stage2_aws_2048Mb_x86,ml_stage2_aws_2048Mb_x86,2048,10,14
ml_stage2_aws_2048Mb_x86,ml_stage2_aws_2048Mb_x86,2048,12,15
ml_stage2_aws_2048Mb_x86,ml_stage2_aws_2048Mb_x86,2048,16,15
ml_stage2_aws_2048Mb_x86,ml_stage2_aws_2048Mb_x86,2048,20,15
ml_stage2_aws_2048Mb_x86,ml_stage2_aws_2048Mb_x86,2048,24,13
ml_stage2_aws_2048Mb_x86,ml_stage2_aws_2048Mb_x86,2048,28,14
ml_stage2_aws_512Mb_arm,ml_stage2_aws_512Mb_arm,512,4,16
ml_stage2_aws_512Mb_arm,ml_stage2_aws_512Mb_arm,512,5,16
ml_stage2_aws_512Mb_arm,ml_stage2_aws_512Mb_arm,512,6,16
ml_stage2_aws_512Mb_arm,ml_stage2_aws_512Mb_arm,512,7,16
ml_stage2_aws_512Mb_arm,ml_stage2_aws_512Mb_arm,512,8,16
ml_stage2_aws_512Mb_arm,ml_stage2_aws_512Mb_arm,512,9,18
ml_stage2_aws_512Mb_arm,ml_stage2_aws_512Mb_arm,512,10,16
ml_stage2_aws_512Mb_arm,ml_stage2_aws_512Mb_arm,512,12,18
ml_stage2_aws_512Mb_arm,ml_stage2_aws_512Mb_arm,512,16,16
ml_stage2_aws_512Mb_arm,ml_stage2_aws_512Mb_arm,512,20,20
ml_stage2_aws_512Mb_arm,ml_stage2_aws_512Mb_arm,512,24,16
ml_stage2_aws_512Mb_arm,ml_stage2_aws_512Mb_arm,512,28,16
ml_stage2_aws_512Mb_x86,ml_stage2_aws_512Mb_x86,512,4,10
ml_stage2_aws_512Mb_x86,ml_stage2_aws_512Mb_x86,512,5,10
ml_stage2_aws_512Mb_x86,ml_stage2_aws_512Mb_x86,512,6,10
ml_stage2_aws_512Mb_x86,ml_stage2_aws_512Mb_x86,512,7,10
ml_stage2_aws_512Mb_x86,ml_stage2_aws_512Mb_x86,512,8,10
ml_stage2_aws_512Mb_x86,ml_stage2_aws_512Mb_x86,512,9,10
ml_stage2_aws_512Mb_x86,ml_stage2_aws_512Mb_x86,512,10,10
ml_stage2_aws_512Mb_x86,ml_stage2_aws_512Mb_x86,512,12,10
ml_stage2_aws_512Mb_x86,ml_stage2_aws_512Mb_x86,512,16,9
ml_stage2_aws_512Mb_x86,ml_stage2_aws_512Mb_x86,512,20,9
ml_stage2_aws_512Mb_x86,ml_stage2_aws_512Mb_x86,512,24,10
ml_stage2_aws_512Mb_x86,ml_stage2_aws_512Mb_x86,512,28,10
ml_stage3,ml_stage3,512,5,4
ml_stage3,ml_stage3,512,6,4
ml_stage3,ml_stage3,512,7,6
ml_stage3,ml_stage3,512,8,6
ml_stage3,ml_stage3,512,9,6
ml_stage3,ml_stage3,512,10,7
ml_stage3_aws_1024Mb_arm,ml_stage3_aws_1024Mb_arm,1024,4,12
ml_stage3_aws_1024Mb_arm,ml_stage3_aws_1024Mb_arm,1024,5,12
ml_stage3_aws_1024Mb_arm,ml_stage3_aws_1024Mb_arm,1024,6,12
ml_stage3_aws_1024Mb_arm,ml_stage3_aws_1024Mb_arm,1024,7,12
ml_stage3_aws_1024Mb_arm,ml_stage3_aws_1024Mb_arm,1024,8,24
ml_stage3_aws_1024Mb_arm,ml_stage3_aws_1024Mb_arm,1024,9,24
ml_stage3_aws_1024Mb_arm,ml_stage3_aws_1024Mb_arm,1024,10,24
ml_stage3_aws_1024Mb_arm,ml_stage3_aws_1024Mb_arm,1024,12,12
ml_stage3_aws_1024Mb_arm,ml_stage3_aws_1024Mb_arm,1024,16,18
ml_stage3_aws_1024Mb_arm,ml_stage3_aws_1024Mb_arm,1024,20,20
ml_stage3_aws_1024Mb_arm,ml_stage3_aws_1024Mb_arm,1024,24,17
ml_stage3_aws_1024Mb_arm,ml_stage3_aws_1024Mb_arm,1024,28,20
ml_stage3_aws_1024Mb_x86,ml_stage3_aws_1024Mb_x86,1024,4,10
ml_stage3_aws_1024Mb_x86,ml_stage3_aws_1024Mb_x86,1024,5,10
ml_stage3_aws_1024Mb_x86,ml_stage3_aws_1024Mb_x86,1024,6,10
ml_stage3_aws_1024Mb_x86,ml_stage3_aws_1024Mb_x86,1024,7,10
ml_stage3_aws_1024Mb_x86,ml_stage3_aws_1024Mb_x86,1024,8,10
ml_stage3_aws_1024Mb_x86,ml_stage3_aws_1024Mb_x86,1024,9,10
ml_stage3_aws_1024Mb_x86,ml_stage3_aws_1024Mb_x86,1024,10,10
ml_stage3_aws_1024Mb_x86,ml_stage3_aws_1024Mb_x86,1024,12,10
ml_stage3_aws_1024Mb_x86,ml_stage3_aws_1024Mb_x86,1024,16,10
ml_stage3_aws_1024Mb_x86,ml_stage3_aws_1024Mb_x86,1024,20,10
ml_stage3_aws_1024Mb_x86,ml_stage3_aws_1024Mb_x86,1024,24,10
ml_stage3_aws_1024Mb_x86,ml_stage3_aws_1024Mb_x86,1024,28,10
ml_stage3_aws_2048Mb_arm,ml_stage3_aws_2048Mb_arm,2048,4,19
ml_stage3_aws_2048Mb_arm,ml_stage3_aws_2048Mb_arm,2048,5,19
ml_stage3_aws_2048Mb_arm,ml_stage3_aws_2048Mb_arm,2048,6,17
ml_stage3_aws_2048Mb_arm,ml_stage3_aws_2048Mb_arm,2048,7,22
ml_stage3_aws_2048Mb_arm,ml_stage3_aws_2048Mb_arm,2048,8,10
ml_stage3_aws_2048Mb_arm,ml_stage3_aws_2048Mb_arm,2048,9,13
ml_stage3_aws_2048Mb_arm,ml_stage3_aws_2048Mb_arm,2048,10,15
ml_stage3_aws_2048Mb_arm,ml_stage3_aws_2048Mb_arm,2048,12,16
ml_stage3_aws_2048Mb_arm,ml_stage3_aws_2048Mb_arm,2048,16,12
ml_stage3_aws_2048Mb_arm,ml_stage3_aws_2048Mb_arm,2048,20,24
ml_stage3_aws_2048Mb_arm,ml_stage3_aws_2048Mb_arm,2048,24,11
ml_stage3_aws_2048Mb_arm,ml_stage3_aws_2048Mb_arm,2048,28,10
ml_stage3_aws_2048Mb_x86,ml_stage3_aws_2048Mb_x86,2048,4,13
ml_stage3_aws_2048Mb_x86,ml_stage3_aws_2048Mb_x86,2048,5,14
ml_stage3_aws_2048Mb_x86,ml_stage3_aws_2048Mb_x86,2048,6,13
ml_stage3_aws_2048Mb_x86,ml_stage3_aws_2048Mb_x86,2048,7,14
ml_stage3_aws_2048Mb_x86,ml_stage3_aws_2048Mb_x86,2048,8,15
ml_stage3_aws_2048Mb_x86,ml_stage3_aws_2048Mb_x86,2048,9,14
ml_stage3_aws_2048Mb_x86,ml_stage3_aws_2048Mb_x86,2048,10,14
ml_stage3_aws_2048Mb_x86,ml_stage3_aws_2048Mb_x86,2048,12,15
ml_stage3_aws_2048Mb_x86,ml_stage3_aws_2048Mb_x86,2048,16,15
ml_stage3_aws_2048Mb_x86,ml_stage3_aws_2048Mb_x86,2048,20,15
ml_stage3_aws_2048Mb_x86,ml_stage3_aws_2048Mb_x86,2048,24,13
ml_stage3_aws_2048Mb_x86,ml_stage3_aws_2048Mb_x86,2048,28,14
ml_stage3_aws_512Mb_arm,ml_stage3_aws_512Mb_arm,512,4,16
ml_stage3_aws_512Mb_arm,ml_stage3_aws_512Mb_arm,512,5,16
ml_stage3_aws_512Mb_arm,ml_stage3_aws_512Mb_arm,512,6,16
ml_stage3_aws_512Mb_arm,ml_stage3_aws_512Mb_arm,512,7,16
ml_stage3_aws_512Mb_arm,ml_stage3_aws_512Mb_arm,512,8,16
